Region,ItemDescription,TransactionDate,Length8Foot,Length10Foot,Length12Foot,Length14Foot,Length16Foot,Length18Foot,Length20Foot
West,2x8 #2,2024-05-02,290,290,315,330,340,315,340
West,2x10 #2,2024-05-02,270,295,305,310,310,245,285
West,2x12 #2,2024-05-02,410,475,480,455,440,445,635
Central,2x4 #1,2024-05-02,385,330,340,375,400,370,400
Central,2x6 #1,2024-05-02,295,320,340,320,345,330,355
Central,2x8 #1,2024-05-02,335,380,370,320,335,340,420
Central,2x10 #1,2024-05-02,340,450,370,340,365,370,580
Central,2x12 #1,2024-05-02,540,520,515,445,510,560,745
Central,2x4 #2,2024-05-02,335,270,275,300,320,280,310
Central,2x6 #2,2024-05-02,235,280,305,310,300,290,290
Central,2x8 #2,2024-05-02,265,270,300,305,305,290,300
Central,2x10 #2,2024-05-02,265,310,320,315,315,265,285
Central,2x12 #2,2024-05-02,295,395,455,400,410,420,680
East,2x4 #1,2024-05-02,415,330,320,385,375,335,345
East,2x6 #1,2024-05-02,360,330,335,330,370,320,350
East,2x8 #1,2024-05-02,380,400,360,320,355,335,425
East,2x10 #1,2024-05-02,380,420,375,395,385,340,655
East,2x12 #1,2024-05-02,580,495,520,500,550,610,845
East,2x4 #2,2024-05-02,400,305,300,340,350,325,320
East,2x6 #2,2024-05-02,250,300,300,310,315,305,285
East,2x8 #2,2024-05-02,305,320,305,310,330,280,295
East,2x10 #2,2024-05-02,260,330,335,350,325,290,325
East,2x12 #2,2024-05-02,295,385,425,405,405,420,740
West,2x4 #1,2024-05-09,365,285,355,355,420,325,385
West,2x6 #1,2024-05-09,290,335,365,350,365,310,350
West,2x8 #1,2024-05-09,340,370,380,335,350,330,410
West,2x10 #1,2024-05-09,335,405,385,320,370,290,565
West,2x12 #1,2024-05-09,550,525,470,440,485,485,680
West,2x4 #2,2024-05-09,350,260,270,290,330,260,310
West,2x6 #2,2024-05-09,265,305,335,310,325,290,315
West,2x8 #2,2024-05-09,290,290,315,330,340,315,340
West,2x10 #2,2024-05-09,280,305,315,320,320,255,295
West,2x12 #2,2024-05-09,380,445,450,425,410,415,605
Central,2x4 #1,2024-05-09,395,330,340,375,410,370,405
Central,2x6 #1,2024-05-09,300,320,340,320,350,330,355
Central,2x8 #1,2024-05-09,340,380,370,320,335,335,425
Central,2x10 #1,2024-05-09,360,470,395,365,380,380,590
Central,2x12 #1,2024-05-09,525,510,510,445,505,545,730
Central,2x4 #2,2024-05-09,335,280,280,310,330,285,315
Central,2x6 #2,2024-05-09,240,280,305,310,300,290,290
Central,2x8 #2,2024-05-09,270,280,305,310,310,295,305
Central,2x10 #2,2024-05-09,280,325,340,335,330,275,305
Central,2x12 #2,2024-05-09,285,385,435,390,405,405,655
East,2x4 #1,2024-05-09,420,350,340,405,395,335,330
East,2x6 #1,2024-05-09,370,340,340,340,385,320,350
East,2x8 #1,2024-05-09,390,400,360,330,355,335,430
East,2x10 #1,2024-05-09,395,425,395,410,405,340,655
East,2x12 #1,2024-05-09,580,495,520,515,550,610,845
East,2x4 #2,2024-05-09,405,315,315,355,365,325,310
East,2x6 #2,2024-05-09,260,310,305,320,325,310,285
East,2x8 #2,2024-05-09,305,320,305,320,340,280,305
East,2x10 #2,2024-05-09,275,345,355,365,345,305,340
East,2x12 #2,2024-05-09,295,375,415,395,405,405,740
West,2x4 #1,2024-05-16,365,285,360,365,430,335,390
West,2x6 #1,2024-05-16,295,340,370,355,370,315,355
West,2x8 #1,2024-05-16,345,375,385,340,355,335,415
West,2x10 #1,2024-05-16,340,410,390,325,375,295,570
West,2x12 #1,2024-05-16,540,515,460,430,475,475,670
West,2x4 #2,2024-05-16,350,260,275,305,345,270,320
West,2x6 #2,2024-05-16,270,310,340,315,330,295,320
West,2x8 #2,2024-05-16,295,295,320,335,345,320,345
West,2x10 #2,2024-05-16,295,320,330,335,335,270,310
West,2x12 #2,2024-05-16,370,435,440,415,400,405,595
Central,2x4 #1,2024-05-16,400,330,350,365,410,370,405
Central,2x6 #1,2024-05-16,305,330,345,325,360,340,365
Central,2x8 #1,2024-05-16,350,385,385,325,340,345,430
Central,2x10 #1,2024-05-16,370,470,410,365,395,395,600
Central,2x12 #1,2024-05-16,515,500,510,440,505,545,720
Central,2x4 #2,2024-05-16,345,290,295,320,340,295,330
Central,2x6 #2,2024-05-16,250,285,310,315,310,295,295
Central,2x8 #2,2024-05-16,270,280,310,315,315,295,305
Central,2x10 #2,2024-05-16,305,345,360,360,350,300,330
Central,2x12 #2,2024-05-16,285,375,420,385,400,395,640
East,2x4 #1,2024-05-16,425,350,350,425,415,350,340
East,2x6 #1,2024-05-16,380,345,345,345,400,330,360
East,2x8 #1,2024-05-16,385,400,365,340,360,335,430
East,2x10 #1,2024-05-16,405,425,410,420,420,350,665
East,2x12 #1,2024-05-16,570,495,520,515,550,610,855
East,2x4 #2,2024-05-16,415,330,330,370,385,335,320
East,2x6 #2,2024-05-16,270,315,315,325,335,315,295
East,2x8 #2,2024-05-16,310,325,310,330,345,290,315
East,2x10 #2,2024-05-16,290,365,375,385,370,325,370
East,2x12 #2,2024-05-16,300,375,410,400,405,420,740
West,2x4 #1,2024-05-30,385,305,380,385,450,355,410
West,2x6 #1,2024-05-30,310,355,385,370,385,330,370
West,2x8 #1,2024-05-30,350,380,390,345,360,340,420
West,2x10 #1,2024-05-30,370,440,420,355,405,325,600
West,2x12 #1,2024-05-30,540,515,460,430,475,475,670
West,2x4 #2,2024-05-30,370,280,300,330,370,285,340
West,2x6 #2,2024-05-30,285,325,355,330,345,310,330
West,2x8 #2,2024-05-30,305,305,330,345,355,330,355
West,2x10 #2,2024-05-30,330,355,365,370,370,305,345
West,2x12 #2,2024-05-30,370,435,440,415,400,405,595
Central,2x4 #1,2024-05-30,400,310,340,350,390,360,385
Central,2x6 #1,2024-05-30,305,330,345,325,360,340,365
Central,2x8 #1,2024-05-30,350,385,385,330,350,340,435
Central,2x10 #1,2024-05-30,405,505,450,400,430,430,630
Central,2x12 #1,2024-05-30,515,500,510,440,505,545,720
Central,2x4 #2,2024-05-30,350,295,300,330,350,305,340
Central,2x6 #2,2024-05-30,265,295,310,315,310,295,295
Central,2x8 #2,2024-05-30,275,285,315,320,325,300,310
Central,2x10 #2,2024-05-30,340,370,390,390,380,330,360
Central,2x12 #2,2024-05-30,290,375,415,385,405,395,635
East,2x4 #1,2024-05-30,430,350,355,445,435,350,340
East,2x6 #1,2024-05-30,385,345,345,350,415,330,380
East,2x8 #1,2024-05-30,385,400,375,345,355,335,445
East,2x10 #1,2024-05-30,440,460,450,450,460,385,690
East,2x12 #1,2024-05-30,570,495,520,515,560,610,865
East,2x4 #2,2024-05-30,425,335,340,390,415,340,320
East,2x6 #2,2024-05-30,290,320,315,330,345,325,300
East,2x8 #2,2024-05-30,315,330,310,330,350,300,325
East,2x10 #2,2024-05-30,325,410,415,430,410,360,415
East,2x12 #2,2024-05-30,300,375,410,400,420,420,740
West,2x4 #1,2024-06-06,375,295,370,375,440,345,400
West,2x6 #1,2024-06-06,295,340,370,355,370,315,355
West,2x8 #1,2024-06-06,335,370,380,340,350,330,410
West,2x10 #1,2024-06-06,380,445,430,375,410,330,600
West,2x12 #1,2024-06-06,540,515,460,430,475,475,670
West,2x4 #2,2024-06-06,370,280,300,330,370,285,340
West,2x6 #2,2024-06-06,275,315,345,320,335,300,320
West,2x8 #2,2024-06-06,295,295,320,335,345,320,345
West,2x10 #2,2024-06-06,340,365,370,370,375,310,350
West,2x12 #2,2024-06-06,370,435,440,415,400,405,595
Central,2x4 #1,2024-06-06,400,310,340,350,390,360,385
Central,2x6 #1,2024-06-06,300,325,340,320,355,335,360
Central,2x8 #1,2024-06-06,350,385,385,330,350,340,440
Central,2x10 #1,2024-06-06,415,515,460,410,440,440,640
Central,2x12 #1,2024-06-06,515,500,510,440,505,545,720
Central,2x4 #2,2024-06-06,350,290,295,330,360,305,340
Central,2x6 #2,2024-06-06,255,285,300,305,300,285,285
Central,2x8 #2,2024-06-06,270,280,310,315,320,295,305
Central,2x10 #2,2024-06-06,340,380,400,400,390,340,370
Central,2x12 #2,2024-06-06,295,375,415,385,405,395,635
East,2x4 #1,2024-06-06,430,345,350,445,435,350,340
East,2x6 #1,2024-06-06,385,345,345,340,415,330,380
East,2x8 #1,2024-06-06,380,395,370,335,350,325,440
East,2x10 #1,2024-06-06,450,460,460,460,470,400,705
East,2x12 #1,2024-06-06,570,495,520,515,560,615,875
East,2x4 #2,2024-06-06,410,320,335,400,420,340,320
East,2x6 #2,2024-06-06,290,310,305,320,335,315,290
East,2x8 #2,2024-06-06,315,325,305,320,340,300,325
East,2x10 #2,2024-06-06,335,425,425,440,420,365,420
East,2x12 #2,2024-06-06,300,375,410,400,435,430,740
East,2x4 #1,2024-06-13,415,330,340,435,430,345,340
East,2x6 #1,2024-06-13,375,325,325,325,390,310,360
East,2x8 #1,2024-06-13,370,380,360,325,340,315,430
East,2x10 #1,2024-06-13,450,460,465,460,455,395,705
East,2x12 #1,2024-06-13,570,495,510,500,550,600,885
East,2x4 #2,2024-06-13,390,300,315,395,415,330,305
East,2x6 #2,2024-06-13,270,285,280,295,305,295,270
East,2x8 #2,2024-06-13,300,310,285,300,315,285,310
East,2x10 #2,2024-06-13,340,425,430,440,420,365,420
East,2x12 #2,2024-06-13,300,375,405,400,435,430,725
Central,2x4 #1,2024-06-13,390,310,330,345,385,350,375
Central,2x6 #1,2024-06-13,285,305,325,305,340,320,345
Central,2x8 #1,2024-06-13,325,365,360,315,340,325,420
Central,2x10 #1,2024-06-13,415,505,445,415,440,440,635
Central,2x12 #1,2024-06-13,505,475,510,440,505,520,725
Central,2x4 #2,2024-06-13,340,285,290,325,355,300,335
Central,2x6 #2,2024-06-13,240,270,275,280,280,265,265
Central,2x8 #2,2024-06-13,260,270,295,295,305,280,290
Central,2x10 #2,2024-06-13,340,380,395,400,395,340,370
Central,2x12 #2,2024-06-13,295,375,415,385,405,395,635
West,2x4 #1,2024-06-13,375,295,360,365,430,345,390
West,2x6 #1,2024-06-13,280,320,355,340,355,300,330
West,2x8 #1,2024-06-13,325,350,365,320,330,310,390
West,2x10 #1,2024-06-13,390,455,440,385,420,340,605
West,2x12 #1,2024-06-13,545,515,445,425,480,450,675
West,2x4 #2,2024-06-13,365,275,290,320,360,285,340
West,2x6 #2,2024-06-13,260,290,315,300,310,280,295
West,2x8 #2,2024-06-13,285,280,305,315,325,300,330
West,2x10 #2,2024-06-13,350,370,375,370,380,310,360
West,2x12 #2,2024-06-13,380,435,420,410,410,390,585
East,2x4 #1,2024-06-20,410,325,335,430,425,340,335
East,2x6 #1,2024-06-20,365,315,315,315,375,295,350
East,2x8 #1,2024-06-20,360,370,350,315,330,305,420
East,2x10 #1,2024-06-20,445,455,460,455,450,390,700
East,2x12 #1,2024-06-20,565,490,505,495,545,595,880
East,2x4 #2,2024-06-20,385,295,310,390,410,325,300
East,2x6 #2,2024-06-20,255,270,265,280,290,280,255
East,2x8 #2,2024-06-20,290,300,275,290,305,275,300
East,2x10 #2,2024-06-20,340,425,430,440,420,365,420
East,2x12 #2,2024-06-20,290,365,395,390,425,420,715
Central,2x4 #1,2024-06-20,385,305,325,340,380,345,370
Central,2x6 #1,2024-06-20,265,285,305,285,320,300,325
Central,2x8 #1,2024-06-20,310,350,345,300,325,305,405
Central,2x10 #1,2024-06-20,410,500,440,410,435,435,630
Central,2x12 #1,2024-06-20,500,470,505,435,500,515,720
Central,2x4 #2,2024-06-20,335,280,285,320,350,295,330
Central,2x6 #2,2024-06-20,220,250,255,260,260,245,245
Central,2x8 #2,2024-06-20,245,255,280,280,290,265,275
Central,2x10 #2,2024-06-20,330,370,385,390,385,330,360
Central,2x12 #2,2024-06-20,290,370,410,380,400,390,630
West,2x4 #1,2024-06-20,370,290,355,360,425,340,385
West,2x6 #1,2024-06-20,260,300,335,320,335,280,310
West,2x8 #1,2024-06-20,310,335,350,305,315,295,375
West,2x10 #1,2024-06-20,390,455,440,385,420,340,605
West,2x12 #1,2024-06-20,545,515,445,425,480,450,675
West,2x4 #2,2024-06-20,360,270,285,315,355,280,335
West,2x6 #2,2024-06-20,240,270,295,280,290,260,275
West,2x8 #2,2024-06-20,270,265,290,300,310,285,315
West,2x10 #2,2024-06-20,350,370,375,370,380,310,360
West,2x12 #2,2024-06-20,375,430,415,405,405,385,580
West,2x4 #1,2024-06-27,360,280,345,350,415,330,375
West,2x6 #1,2024-06-27,245,285,320,305,320,265,295
West,2x8 #1,2024-06-27,295,320,335,290,300,280,360
West,2x10 #1,2024-06-27,385,450,435,380,415,335,600
West,2x12 #1,2024-06-27,540,510,440,420,475,445,670
West,2x4 #2,2024-06-27,350,260,275,305,345,270,325
West,2x6 #2,2024-06-27,225,255,280,265,275,245,260
West,2x8 #2,2024-06-27,255,250,275,285,300,270,300
West,2x10 #2,2024-06-27,345,365,370,365,375,305,355
West,2x12 #2,2024-06-27,365,420,405,395,395,375,570
Central,2x4 #1,2024-06-27,375,290,310,340,375,330,360
Central,2x6 #1,2024-06-27,260,280,295,275,310,290,315
Central,2x8 #1,2024-06-27,300,340,335,290,315,295,400
Central,2x10 #1,2024-06-27,410,500,440,410,435,415,605
Central,2x12 #1,2024-06-27,500,470,505,435,500,515,720
Central,2x4 #2,2024-06-27,325,270,275,315,345,285,320
Central,2x6 #2,2024-06-27,220,240,240,245,250,240,240
Central,2x8 #2,2024-06-27,235,245,265,265,280,255,265
Central,2x10 #2,2024-06-27,315,355,360,370,365,315,345
Central,2x12 #2,2024-06-27,290,365,395,375,395,385,625
East,2x4 #1,2024-06-27,390,325,320,415,425,330,325
East,2x6 #1,2024-06-27,350,305,300,295,350,285,340
East,2x8 #1,2024-06-27,355,360,350,300,315,300,410
East,2x10 #1,2024-06-27,435,445,450,445,445,385,685
East,2x12 #1,2024-06-27,550,470,490,480,530,575,880
East,2x4 #2,2024-06-27,370,285,300,385,400,315,290
East,2x6 #2,2024-06-27,245,260,250,265,275,270,250
East,2x8 #2,2024-06-27,280,285,265,275,290,270,290
East,2x10 #2,2024-06-27,330,415,420,430,410,350,420
East,2x12 #2,2024-06-27,285,355,380,380,425,410,695
West,2x4 #1,2024-07-04,360,280,340,345,410,325,365
West,2x6 #1,2024-07-04,240,280,315,300,315,260,290
West,2x8 #1,2024-07-04,290,315,330,285,295,275,355
West,2x10 #1,2024-07-04,380,450,435,380,415,335,600
West,2x12 #1,2024-07-04,540,510,430,410,475,435,670
West,2x4 #2,2024-07-04,345,255,270,295,345,265,320
West,2x6 #2,2024-07-04,225,245,270,255,265,235,250
West,2x8 #2,2024-07-04,250,245,270,280,295,265,295
West,2x10 #2,2024-07-04,345,365,370,365,375,305,355
West,2x12 #2,2024-07-04,365,420,395,395,395,365,560
Central,2x4 #1,2024-07-04,370,285,305,335,375,330,360
Central,2x6 #1,2024-07-04,260,280,295,275,310,290,315
Central,2x8 #1,2024-07-04,295,335,330,285,310,295,390
Central,2x10 #1,2024-07-04,410,495,440,410,445,400,600
Central,2x12 #1,2024-07-04,500,470,505,435,500,515,720
Central,2x4 #2,2024-07-04,315,265,270,310,345,285,315
Central,2x6 #2,2024-07-04,220,240,240,240,240,235,240
Central,2x8 #2,2024-07-04,230,240,255,260,270,250,260
Central,2x10 #2,2024-07-04,310,350,350,355,355,300,335
Central,2x12 #2,2024-07-04,290,360,385,370,395,380,600
East,2x4 #1,2024-07-04,380,320,315,405,420,325,315
East,2x6 #1,2024-07-04,340,300,295,285,325,275,335
East,2x8 #1,2024-07-04,345,350,350,290,315,300,410
East,2x10 #1,2024-07-04,425,435,440,435,440,380,680
East,2x12 #1,2024-07-04,540,455,490,470,520,560,880
East,2x4 #2,2024-07-04,365,275,295,380,395,310,290
East,2x6 #2,2024-07-04,240,255,240,255,265,265,245
East,2x8 #2,2024-07-04,270,275,255,265,280,265,290
East,2x10 #2,2024-07-04,320,400,410,415,400,335,415
East,2x12 #2,2024-07-04,280,350,375,375,415,400,685
West,2x4 #1,2024-07-11,360,280,340,345,410,325,365
West,2x6 #1,2024-07-11,240,280,315,300,315,260,290
West,2x8 #1,2024-07-11,285,310,325,280,290,270,350
West,2x10 #1,2024-07-11,375,445,430,375,410,330,595
West,2x12 #1,2024-07-11,540,510,430,410,475,435,670
West,2x4 #2,2024-07-11,345,255,270,295,345,265,320
West,2x6 #2,2024-07-11,225,245,270,255,265,235,250
West,2x8 #2,2024-07-11,245,240,265,275,290,260,290
West,2x10 #2,2024-07-11,340,360,365,360,370,300,350
West,2x12 #2,2024-07-11,360,415,390,390,390,360,555
Central,2x4 #1,2024-07-11,370,280,305,335,375,330,360
Central,2x6 #1,2024-07-11,260,280,295,275,310,290,320
Central,2x8 #1,2024-07-11,300,335,335,290,315,295,395
Central,2x10 #1,2024-07-11,410,495,440,410,455,400,600
Central,2x12 #1,2024-07-11,500,470,505,430,505,515,720
Central,2x4 #2,2024-07-11,310,260,265,310,345,285,315
Central,2x6 #2,2024-07-11,225,240,240,240,240,235,240
Central,2x8 #2,2024-07-11,235,240,255,260,270,250,260
Central,2x10 #2,2024-07-11,305,345,350,350,350,300,330
Central,2x12 #2,2024-07-11,290,355,375,370,395,375,575
East,2x4 #1,2024-07-11,380,325,320,405,430,325,315
East,2x6 #1,2024-07-11,340,300,295,285,325,275,335
East,2x8 #1,2024-07-11,345,350,350,290,315,300,410
East,2x10 #1,2024-07-11,425,435,440,435,440,380,680
East,2x12 #1,2024-07-11,540,455,490,465,520,560,880
East,2x4 #2,2024-07-11,365,275,295,380,395,310,290
East,2x6 #2,2024-07-11,240,255,240,255,265,265,245
East,2x8 #2,2024-07-11,270,275,255,265,280,265,290
East,2x10 #2,2024-07-11,315,390,400,405,390,320,410
East,2x12 #2,2024-07-11,280,350,375,370,415,395,680
West,2x4 #1,2024-07-18,370,290,350,355,420,335,375
West,2x6 #1,2024-07-18,250,290,325,310,325,270,300
West,2x8 #1,2024-07-18,290,315,330,285,295,275,355
West,2x10 #1,2024-07-18,375,445,430,375,410,330,595
West,2x12 #1,2024-07-18,545,515,435,415,480,440,675
West,2x4 #2,2024-07-18,355,265,280,305,355,275,330
West,2x6 #2,2024-07-18,235,255,280,265,275,245,260
West,2x8 #2,2024-07-18,255,250,275,285,300,270,300
West,2x10 #2,2024-07-18,340,360,365,360,370,300,350
West,2x12 #2,2024-07-18,365,420,395,395,395,365,560
Central,2x4 #1,2024-07-18,375,280,305,340,380,330,360
Central,2x6 #1,2024-07-18,265,290,300,285,315,295,320
Central,2x8 #1,2024-07-18,300,340,335,290,315,300,405
Central,2x10 #1,2024-07-18,410,495,440,410,460,400,600
Central,2x12 #1,2024-07-18,500,470,505,430,510,515,720
Central,2x4 #2,2024-07-18,325,260,270,320,350,290,320
Central,2x6 #2,2024-07-18,240,255,260,255,255,245,250
Central,2x8 #2,2024-07-18,240,250,260,265,275,260,265
Central,2x10 #2,2024-07-18,310,350,350,350,350,305,335
Central,2x12 #2,2024-07-18,290,355,380,370,400,375,580
East,2x4 #1,2024-07-18,380,335,325,415,440,330,320
East,2x6 #1,2024-07-18,345,315,300,300,325,275,340
East,2x8 #1,2024-07-18,345,350,350,290,315,300,410
East,2x10 #1,2024-07-18,425,435,440,435,440,380,680
East,2x12 #1,2024-07-18,540,455,490,465,520,560,880
East,2x4 #2,2024-07-18,370,290,300,390,405,315,295
East,2x6 #2,2024-07-18,250,270,250,265,275,265,250
East,2x8 #2,2024-07-18,275,280,260,270,285,270,290
East,2x10 #2,2024-07-18,315,390,400,405,390,320,410
East,2x12 #2,2024-07-18,280,350,375,370,420,395,675
West,2x4 #1,2024-07-25,390,300,360,365,440,350,385
West,2x6 #1,2024-07-25,265,300,335,315,335,280,310
West,2x8 #1,2024-07-25,300,315,335,290,305,275,355
West,2x10 #1,2024-07-25,385,445,440,380,425,340,600
West,2x12 #1,2024-07-25,560,530,435,425,495,450,685
West,2x4 #2,2024-07-25,375,275,290,315,365,280,340
West,2x6 #2,2024-07-25,245,265,290,275,285,255,265
West,2x8 #2,2024-07-25,265,260,280,290,305,270,305
West,2x10 #2,2024-07-25,345,365,370,365,375,305,355
West,2x12 #2,2024-07-25,365,420,400,400,405,370,565
Central,2x4 #1,2024-07-25,380,290,305,345,385,330,360
Central,2x6 #1,2024-07-25,270,290,305,290,320,300,320
Central,2x8 #1,2024-07-25,300,340,335,290,315,300,405
Central,2x10 #1,2024-07-25,415,500,445,415,470,405,610
Central,2x12 #1,2024-07-25,505,475,510,435,515,520,730
Central,2x4 #2,2024-07-25,340,265,275,330,365,295,325
Central,2x6 #2,2024-07-25,250,265,270,265,265,255,260
Central,2x8 #2,2024-07-25,250,255,260,270,280,265,270
Central,2x10 #2,2024-07-25,315,350,350,350,355,305,340
Central,2x12 #2,2024-07-25,305,365,390,380,420,385,590
East,2x4 #1,2024-07-25,395,345,335,425,455,345,335
East,2x6 #1,2024-07-25,355,325,305,305,330,280,345
East,2x8 #1,2024-07-25,350,355,355,295,320,305,415
East,2x10 #1,2024-07-25,425,440,440,435,445,380,690
East,2x12 #1,2024-07-25,540,455,490,465,520,560,880
East,2x4 #2,2024-07-25,385,305,315,405,425,330,310
East,2x6 #2,2024-07-25,255,285,260,275,280,270,250
East,2x8 #2,2024-07-25,280,285,265,270,290,270,290
East,2x10 #2,2024-07-25,315,390,400,400,390,320,410
East,2x12 #2,2024-07-25,280,350,375,370,420,395,675
West,2x4 #1,2024-08-01,395,305,365,370,445,355,390
West,2x6 #1,2024-08-01,270,305,340,320,340,285,315
West,2x8 #1,2024-08-01,305,320,340,295,310,280,360
West,2x10 #1,2024-08-01,385,445,440,380,425,340,600
West,2x12 #1,2024-08-01,570,540,445,435,505,460,695
West,2x4 #2,2024-08-01,380,280,295,320,370,285,345
West,2x6 #2,2024-08-01,250,270,295,280,290,260,270
West,2x8 #2,2024-08-01,270,260,280,295,310,275,310
West,2x10 #2,2024-08-01,345,365,370,365,375,305,355
West,2x12 #2,2024-08-01,370,425,405,410,420,375,570
Central,2x4 #1,2024-08-01,395,300,315,355,405,335,370
Central,2x6 #1,2024-08-01,280,300,315,300,330,310,330
Central,2x8 #1,2024-08-01,305,340,335,290,315,305,410
Central,2x10 #1,2024-08-01,420,505,450,420,480,410,610
Central,2x12 #1,2024-08-01,510,480,520,450,535,535,745
Central,2x4 #2,2024-08-01,350,270,280,335,375,295,325
Central,2x6 #2,2024-08-01,260,270,280,270,275,265,265
Central,2x8 #2,2024-08-01,255,260,265,275,285,270,275
Central,2x10 #2,2024-08-01,315,355,355,355,355,305,345
Central,2x12 #2,2024-08-01,310,370,400,390,440,400,610
East,2x4 #1,2024-08-01,405,355,340,435,470,355,345
East,2x6 #1,2024-08-01,360,330,310,310,335,285,350
East,2x8 #1,2024-08-01,355,360,360,300,320,305,420
East,2x10 #1,2024-08-01,425,440,445,435,450,380,690
East,2x12 #1,2024-08-01,540,455,490,465,520,560,880
East,2x4 #2,2024-08-01,395,315,325,420,445,340,320
East,2x6 #2,2024-08-01,265,295,270,285,290,280,255
East,2x8 #2,2024-08-01,285,290,270,270,290,270,290
East,2x10 #2,2024-08-01,315,390,400,400,390,320,410
East,2x12 #2,2024-08-01,285,355,380,370,435,400,675
East,2x4 #1,2024-08-08,410,360,345,440,475,360,350
East,2x6 #1,2024-08-08,360,330,310,310,335,285,350
East,2x8 #1,2024-08-08,355,360,360,300,320,305,420
East,2x10 #1,2024-08-08,425,440,445,435,450,380,690
East,2x12 #1,2024-08-08,540,455,490,465,520,560,880
East,2x4 #2,2024-08-08,400,325,335,430,460,345,325
East,2x6 #2,2024-08-08,265,295,270,285,290,280,255
East,2x8 #2,2024-08-08,285,290,270,270,290,270,290
East,2x10 #2,2024-08-08,315,390,400,400,390,320,410
East,2x12 #2,2024-08-08,290,360,385,375,445,405,675
Central,2x4 #1,2024-08-08,400,305,320,360,410,340,375
Central,2x6 #1,2024-08-08,280,300,315,300,330,310,330
Central,2x8 #1,2024-08-08,305,340,335,290,315,305,410
Central,2x10 #1,2024-08-08,420,505,450,420,480,410,610
Central,2x12 #1,2024-08-08,515,485,525,455,540,540,750
Central,2x4 #2,2024-08-08,355,275,285,340,380,300,330
Central,2x6 #2,2024-08-08,260,270,280,270,275,265,265
Central,2x8 #2,2024-08-08,255,260,265,275,285,270,275
Central,2x10 #2,2024-08-08,315,355,355,355,355,305,345
Central,2x12 #2,2024-08-08,310,370,400,395,450,405,615
West,2x4 #1,2024-08-08,400,310,370,380,455,365,395
West,2x6 #1,2024-08-08,270,305,340,320,340,285,315
West,2x8 #1,2024-08-08,305,320,340,295,310,280,360
West,2x10 #1,2024-08-08,385,445,440,380,425,340,600
West,2x12 #1,2024-08-08,580,550,450,440,510,465,700
West,2x4 #2,2024-08-08,385,285,300,325,375,300,350
West,2x6 #2,2024-08-08,250,270,295,280,290,260,270
West,2x8 #2,2024-08-08,270,255,275,290,305,270,310
West,2x10 #2,2024-08-08,345,365,370,365,375,305,355
West,2x12 #2,2024-08-08,375,430,410,420,425,380,580
West,2x4 #1,2024-08-15,400,310,370,380,455,365,395
West,2x6 #1,2024-08-15,260,295,330,310,330,275,305
West,2x8 #1,2024-08-15,290,305,330,280,300,270,345
West,2x10 #1,2024-08-15,380,440,435,375,420,335,595
West,2x12 #1,2024-08-15,580,560,455,450,515,470,715
West,2x4 #2,2024-08-15,385,285,300,325,375,290,355
West,2x6 #2,2024-08-15,240,260,285,270,280,250,260
West,2x8 #2,2024-08-15,260,245,265,280,295,260,300
West,2x10 #2,2024-08-15,340,360,365,360,370,300,350
West,2x12 #2,2024-08-15,385,440,420,430,435,390,590
Central,2x4 #1,2024-08-15,400,305,325,365,420,345,375
Central,2x6 #1,2024-08-15,280,295,305,300,320,300,320
Central,2x8 #1,2024-08-15,300,335,330,285,310,300,405
Central,2x10 #1,2024-08-15,420,505,450,420,470,400,620
Central,2x12 #1,2024-08-15,515,485,525,455,540,540,760
Central,2x4 #2,2024-08-15,360,275,285,340,385,300,330
Central,2x6 #2,2024-08-15,255,260,270,260,265,260,260
Central,2x8 #2,2024-08-15,250,255,260,270,280,260,275
Central,2x10 #2,2024-08-15,310,350,350,350,350,305,340
Central,2x12 #2,2024-08-15,310,370,405,395,460,410,620
East,2x4 #1,2024-08-15,415,365,355,445,485,360,350
East,2x6 #1,2024-08-15,360,330,310,310,330,285,345
East,2x8 #1,2024-08-15,350,360,360,300,320,305,420
East,2x10 #1,2024-08-15,425,440,445,435,450,380,690
East,2x12 #1,2024-08-15,540,455,490,465,525,560,880
East,2x4 #2,2024-08-15,400,330,340,435,470,345,325
East,2x6 #2,2024-08-15,265,295,270,285,290,275,255
East,2x8 #2,2024-08-15,285,290,270,270,290,270,290
East,2x10 #2,2024-08-15,315,390,400,400,390,320,410
East,2x12 #2,2024-08-15,290,360,385,375,455,405,675
West,2x4 #1,2024-08-22,400,310,370,380,455,365,395
West,2x6 #1,2024-08-22,255,290,325,305,325,270,300
West,2x8 #1,2024-08-22,280,295,320,270,290,260,335
West,2x10 #1,2024-08-22,370,430,425,365,410,325,585
West,2x12 #1,2024-08-22,580,560,455,450,515,470,715
West,2x4 #2,2024-08-22,385,285,300,325,375,290,355
West,2x6 #2,2024-08-22,230,250,275,260,270,240,250
West,2x8 #2,2024-08-22,250,235,255,270,285,250,290
West,2x10 #2,2024-08-22,330,350,355,350,360,290,340
West,2x12 #2,2024-08-22,395,450,430,440,445,400,600
Central,2x4 #1,2024-08-22,400,305,325,370,430,350,375
Central,2x6 #1,2024-08-22,270,285,295,290,310,295,315
Central,2x8 #1,2024-08-22,295,330,325,280,305,290,400
Central,2x10 #1,2024-08-22,420,500,445,420,465,390,630
Central,2x12 #1,2024-08-22,515,485,525,455,540,540,770
Central,2x4 #2,2024-08-22,365,275,285,345,395,300,330
